submission_id;question_id;module_id;teacher;option_id;answer_value
21;1;;;1;
22;1;;;1;
23;1;;;1;
24;1;;;3;
25;1;;;6;
26;1;;;6;
25;2;;;10;
26;2;;;7;
26;2;;;10;
26;2;;;13;
25;3;;;;pas assez dasso
26;3;;;;nullll
25;4;;;;La vie associative permet de rencontrer d’autres étudiants et de créer une bonne ambiance sur le campus.
26;4;;;;L’ambiance entre les étudiants reste conviviale et certains espaces du campus sont agréables.
22;5;;;;L’ambiance sur le campus est agréable et les échanges entre étudiants sont faciles.
24;5;;;;Très belle école
22;6;;;14;
23;6;;;14;
24;6;;;16;
25;6;;;19;
21;6;;;14;
26;6;;;19;
25;7;;;21;
26;7;;;20;
26;7;;;22;
26;7;;;23;
25;8;;;;Le module manque de clarté dans l’organisation. Les notions abordées sont intéressantes, mais les explications restent parfois trop rapides et les consignes ne sont pas toujours assez précises.
26;8;;;;les pofs sont nuuuuuls
25;9;;;;Les sujets abordés sont utiles pour construire un profil polyvalent en data et en intelligence artificielle.
26;9;;;;Les travaux pratiques permettent d’appliquer concrètement plusieurs notions vues en cours.
22;10;;;;so far so good
24;10;;;;Cursus assez complet
21;11;42;Xavier C.;24;
22;11;42;Xavier C.;25;
23;11;42;Xavier C.;24;
24;11;42;Xavier C.;24;
25;11;42;Xavier C.;24;
21;12;42;Xavier C.;26;
23;12;42;Xavier C.;26;
24;12;42;Xavier C.;28;
25;12;42;Xavier C.;31;
25;13;42;Xavier C.;32;
26;13;42;Xavier C.;32;
26;13;42;Xavier C.;36;
26;13;42;Xavier C.;39;
25;14;42;Xavier C.;;Beaucoup trop de charge de tavaille.
26;14;42;Xavier C.;;Je suis globalement déçu par ce cours. Je n’ai pas eu l’impression de progresser malgré le temps passé dessus.
25;15;42;Xavier C.;;Les exercices d’automatisation étaient intéressants et directement applicables.
24;16;42;Xavier C.;;Je suis très satisfait de la qualité des enseignements. Les professeurs sont disponibles, pédagogues et prennent le temps de répondre aux questions. Cela aide beaucoup à progresser.
21;11;43;Xavier C.;24;
22;11;43;Xavier C.;25;
23;11;43;Xavier C.;24;
24;11;43;Xavier C.;24;
25;11;43;Xavier C.;24;
21;12;43;Xavier C.;26;
23;12;43;Xavier C.;26;
24;12;43;Xavier C.;28;
25;12;43;Xavier C.;31;
25;13;43;Xavier C.;34;
25;13;43;Xavier C.;36;
26;13;43;Xavier C.;32;
26;13;43;Xavier C.;35;
26;13;43;Xavier C.;39;
25;14;43;Xavier C.;;Les notions sont importantes, mais elles ne sont pas toujours suffisamment expliquées.
26;14;43;Xavier C.;;Le cours manque clairement de structure. On passe d’un sujet à l’autre sans vraie logique, ce qui rend la compréhension très difficile.
25;15;43;Xavier C.;;Les cas d’usage abordés ont montré l’intérêt des architectures de services complexes.
26;15;43;Xavier C.;;Le module présente des problématiques techniques utiles pour comprendre les échanges entre services.
24;16;43;Xavier C.;;Les cours sont bien organisés et les enseignants maîtrisent très bien leurs sujets. Les supports sont utiles et les notions importantes sont bien expliquées.
21;11;41;Théo B.;24;
22;11;41;Théo B.;25;
23;11;41;Théo B.;24;
24;11;41;Théo B.;24;
25;11;41;Théo B.;24;
21;12;41;Théo B.;26;
23;12;41;Théo B.;26;
24;12;41;Théo B.;28;
25;12;41;Théo B.;31;
25;13;41;Théo B.;34;
26;13;41;Théo B.;32;
26;13;41;Théo B.;35;
26;13;41;Théo B.;39;
25;14;41;Théo B.;;Le module manque de clarté dans l’organisation. Les notions abordées sont intéressantes, mais les explications restent parfois trop rapides et les consignes ne sont pas toujours assez précises.
26;14;41;Théo B.;;boffff
25;15;41;Théo B.;;Les démonstrations pratiques ont permis de découvrir concrètement les principaux services cloud.
24;16;41;Théo B.;;Les enseignants sont très investis et savent rendre les cours intéressants. Les explications sont claires, les exemples sont pertinents et l’ambiance en cours donne envie de participer.
21;11;46;Enzo F.;24;
22;11;46;Enzo F.;25;
23;11;46;Enzo F.;24;
24;11;46;Enzo F.;24;
25;11;46;Enzo F.;24;
21;12;46;Enzo F.;26;
23;12;46;Enzo F.;26;
24;12;46;Enzo F.;28;
25;12;46;Enzo F.;31;
25;13;46;Enzo F.;32;
25;13;46;Enzo F.;36;
25;13;46;Enzo F.;38;
26;13;46;Enzo F.;32;
26;13;46;Enzo F.;35;
26;13;46;Enzo F.;39;
25;14;46;Enzo F.;;Le sujet est actuel et motivant, mais le module pourrait être mieux cadré.
26;14;46;Enzo F.;;Le cours manque d’interaction. On a surtout l’impression d’écouter passivement sans être vraiment impliqués.
25;15;46;Enzo F.;;Les mises en pratique autour des LLM sont actuelles et particulièrement intéressantes.
26;15;46;Enzo F.;;Les outils présentés donnent un bon aperçu des possibilités offertes par l’intelligence artificielle générative.
24;16;46;Enzo F.;;Les enseignants sont très investis et savent rendre les cours intéressants. Les explications sont claires, les exemples sont pertinents et l’ambiance en cours donne envie de participer.
21;11;44;Thalita D.;24;
22;11;44;Thalita D.;25;
23;11;44;Thalita D.;24;
24;11;44;Thalita D.;24;
25;11;44;Thalita D.;24;
21;12;44;Thalita D.;26;
23;12;44;Thalita D.;26;
24;12;44;Thalita D.;28;
25;12;44;Thalita D.;31;
25;13;44;Thalita D.;33;
25;13;44;Thalita D.;36;
25;13;44;Thalita D.;38;
26;13;44;Thalita D.;32;
26;13;44;Thalita D.;35;
26;13;44;Thalita D.;39;
25;14;44;Thalita D.;;Le module est dense et le rythme est parfois trop rapide. Certaines notions complexes mériteraient d’être reprises plus progressivement avec plus d’exercices guidés.
26;14;44;Thalita D.;;Le rythme du cours est mal adapté. Certaines notions importantes sont survolées alors que d’autres moins utiles prennent beaucoup trop de temps.
25;15;44;Thalita D.;;Les sujets étudiés sont stimulants et les exemples donnent envie d’approfondir le machine learning.
26;15;44;Thalita D.;;La découverte des réseaux de neurones apporte des connaissances utiles pour de futurs projets.
24;16;44;Thalita D.;;J’ai beaucoup apprécié l’implication des professeurs. Ils rendent les séances dynamiques et accessibles, même lorsque les notions sont complexes.
21;11;45;Maksim K.;24;
22;11;45;Maksim K.;25;
23;11;45;Maksim K.;24;
24;11;45;Maksim K.;24;
25;11;45;Maksim K.;24;
21;12;45;Maksim K.;26;
23;12;45;Maksim K.;26;
24;12;45;Maksim K.;28;
25;12;45;Maksim K.;31;
25;13;45;Maksim K.;33;
25;13;45;Maksim K.;36;
25;13;45;Maksim K.;38;
26;13;45;Maksim K.;32;
26;13;45;Maksim K.;35;
26;13;45;Maksim K.;39;
25;14;45;Maksim K.;;Le cours manque parfois de pédagogie et d’exemples pratiques.
26;14;45;Maksim K.;;Je suis globalement déçu par ce cours. Je n’ai pas eu l’impression de progresser malgré le temps passé dessus.
25;15;45;Maksim K.;;Les applications concrètes du traitement du langage sont motivantes et utiles pour la suite.
26;15;45;Maksim K.;;Le module permet de découvrir plusieurs usages actuels du traitement automatique du langage.
24;16;45;Maksim K.;;Les enseignants sont motivants et à l’écoute. On sent qu’ils cherchent vraiment à nous accompagner et à nous faire comprendre les concepts en profondeur.
21;11;49;Issame B.;24;
22;11;49;Issame B.;25;
23;11;49;Issame B.;24;
24;11;49;Issame B.;24;
25;11;49;Issame B.;24;
21;12;49;Issame B.;26;
23;12;49;Issame B.;26;
24;12;49;Issame B.;28;
25;12;49;Issame B.;31;
25;13;49;Issame B.;35;
25;13;49;Issame B.;39;
26;13;49;Issame B.;32;
26;13;49;Issame B.;34;
26;13;49;Issame B.;39;
25;14;49;Issame B.;;Le module manque parfois de fil conducteur.
26;14;49;Issame B.;;Les objectifs du cours ne sont pas assez clairs. On ne comprend pas toujours pourquoi on étudie certaines notions.
25;15;49;Issame B.;;La démarche d’expérimentation donne des outils concrets pour prendre des décisions fondées sur les données.
26;15;49;Issame B.;;Les méthodes présentées sont utiles pour mesurer objectivement l’impact d’une expérimentation.
24;16;49;Issame B.;;Les enseignants sont motivants et à l’écoute. On sent qu’ils cherchent vraiment à nous accompagner et à nous faire comprendre les concepts en profondeur.
21;11;48;Florian L.;24;
22;11;48;Florian L.;25;
23;11;48;Florian L.;24;
24;11;48;Florian L.;24;
25;11;48;Florian L.;24;
21;12;48;Florian L.;26;
23;12;48;Florian L.;26;
24;12;48;Florian L.;28;
25;12;48;Florian L.;31;
25;13;48;Florian L.;32;
25;13;48;Florian L.;36;
26;13;48;Florian L.;32;
26;13;48;Florian L.;35;
26;13;48;Florian L.;39;
25;14;48;Florian L.;;Le contenu est pertinent, mais le cours pourrait être plus dynamique.
26;14;48;Florian L.;;Les séances sont souvent longues et peu engageantes. Il est difficile de rester concentré jusqu’au bout.
25;15;48;Florian L.;;Les sujets de sécurité et de protection des données sont essentiels et directement utiles.
26;15;48;Florian L.;;Les exemples de risques informatiques sensibilisent efficacement aux bonnes pratiques de sécurité.
24;16;48;Florian L.;;J’ai beaucoup apprécié l’implication des professeurs. Ils rendent les séances dynamiques et accessibles, même lorsque les notions sont complexes.
21;11;47;Cédrine M.;24;
22;11;47;Cédrine M.;25;
23;11;47;Cédrine M.;24;
24;11;47;Cédrine M.;24;
25;11;47;Cédrine M.;24;
21;12;47;Cédrine M.;26;
23;12;47;Cédrine M.;26;
24;12;47;Cédrine M.;28;
25;12;47;Cédrine M.;31;
25;13;47;Cédrine M.;32;
25;13;47;Cédrine M.;35;
25;13;47;Cédrine M.;38;
26;13;47;Cédrine M.;32;
26;13;47;Cédrine M.;35;
26;13;47;Cédrine M.;39;
25;14;47;Cédrine M.;;Le module semble important, mais il est parfois trop théorique.
26;14;47;Cédrine M.;;Je trouve que le contenu du cours n’est pas assez bien organisé. Il est difficile de savoir ce qui est vraiment important à retenir.
25;15;47;Cédrine M.;;Les notions de qualité et de gouvernance des données sont utiles pour comprendre les enjeux en entreprise.
26;15;47;Cédrine M.;;Le module montre clairement pourquoi des données fiables sont indispensables à un projet.
